

MAX COVERAGE RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
------------------------------------------------------------------------------------------------------------
| B0xProxy.sol                        | 23.04%               | 22.55% (-2.13%)      | 21.08% (-8.51%)      |
| CBToken.sol                         | 18.27%               | 19.23% (+5.26%)      | 18.75% (+2.63%)      |
| Ciphs.sol                           | 18.86%               | 17.37% (-7.89%)      | 17.87% (-5.26%)      |
| CvcProxy.sol                        | 60.87%               | 60.87% (0.00%)       | 71.01% (+16.67%)     |
| DSProxy.sol                         | 38.61%               | 51.49% (+33.33%)     | 43.56% (+12.82%)     |
| FNBToken.sol                        | 63.03%               | 66.39% (+5.33%)      | 62.18% (-1.33%)      |
| KnowledgeProxy.sol                  | 60.98%               | 60.98% (0.00%)       | 60.98% (0.00%)       |
| LANDProxy.sol                       | 97.37%               | 100.00% (+2.70%)     | 100.00% (+2.70%)     |
| MultiEventsHistory.sol              | 59.78%               | 58.70% (-1.82%)      | 59.78% (0.00%)       |
| MultiSigStub.sol                    | 36.65%               | 36.65% (0.00%)       | 36.65% (0.00%)       |
| Parsec.sol                          | 67.39%               | 67.39% (0.00%)       | 67.39% (0.00%)       |
| RiskSharingToken.sol                | 25.00%               | 25.77% (+3.08%)      | 28.08% (+12.31%)     |
| TransferReg.sol                     | 82.35%               | 97.06% (+17.86%)     | 73.53% (-10.71%)     |
| UserWallet.sol                      | 55.00%               | 55.00% (0.00%)       | 75.00% (+36.36%)     |
| WyvernDAOProxy.sol                  | 74.14%               | 67.24% (-9.30%)      | 70.69% (-4.65%)      |
| BigRisk.sol                         | 56.06%               | 56.06% (0.00%)       | 56.06% (0.00%)       |
| Caller.sol                          | 100.00%              | 100.00% (0.00%)      | 100.00% (0.00%)      |
| ChargCoinContract.sol               | 26.53%               | 26.82% (+1.10%)      | N/A                  |
| CreditDepositBank.sol               | 72.41%               | 72.41% (0.00%)       | 72.41% (0.00%)       |
| CrowdSalePreICO.sol                 | 33.33%               | 33.33% (0.00%)       | 32.10% (-3.70%)      |
| DepositBank.sol                     | 52.29%               | 54.90% (+5.00%)      | 52.94% (+1.25%)      |
| EDProxy.sol                         | 53.54%               | 43.43% (-18.87%)     | 51.52% (-3.77%)      |
| Ethsplit.sol                        | 38.10%               | 38.10% (0.00%)       | 38.10% (0.00%)       |
| HelpMeSave.sol                      | 88.57%               | 88.57% (0.00%)       | 88.57% (0.00%)       |
| Honey.sol                           | 77.78%               | 61.11% (-21.43%)     | 72.22% (-7.14%)      |
| IPchainStandardToken.sol            | 53.06%               | 57.14% (+7.69%)      | 53.06% (0.00%)       |
| MillionEther.sol                    | 12.60%               | 12.60% (0.00%)       | 12.60% (0.00%)       |
| MultiplicatorX4.sol                 | 81.25%               | 90.62% (+11.54%)     | 81.25% (0.00%)       |
| NexxusToken.sol                     | 49.17%               | 52.50% (+6.78%)      | 50.00% (+1.69%)      |
| Pie.sol                             | 83.33%               | 66.67% (-20.00%)     | 72.22% (-13.33%)     |
| PrayerCoin.sol                      | 36.02%               | 44.10% (+22.41%)     | 42.24% (+17.24%)     |
| RaisingToken.sol                    | 40.91%               | 40.91% (0.00%)       | 40.91% (0.00%)       |
| Reward.sol                          | 56.52%               | 41.30% (-26.92%)     | 45.65% (-19.23%)     |
| SafeConditionalHFTransfer.sol       | 27.78%               | 27.78% (0.00%)       | 27.78% (0.00%)       |
| Soleau.sol                          | 53.45%               | 53.45% (0.00%)       | 53.45% (0.00%)       |
| Store.sol                           | 74.07%               | 74.07% (0.00%)       | 74.07% (0.00%)       |
| TokenBank.sol                       | 63.49%               | 66.67% (+5.00%)      | 82.54% (+30.00%)     |
