GROUP B RESULTS


MAX COVERAGE RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
------------------------------------------------------------------------------------------------------------
| CryptoPoosToken.sol                 | 16.67%               | 16.67% (0.00%)       | 16.98% (+1.89%)      |
| NFTHouseGame.sol                    | 9.95%                | 9.95% (0.00%)        | 9.95% (0.00%)        |
| RichestTakeAll.sol                  | 45.71%               | 45.71% (0.00%)       | 45.71% (0.00%)       |
| MultiEventsHistory.sol              | 59.78%               | 58.70% (-1.82%)      | 59.78% (0.00%)       |
| DEC15Contract.sol                   | 70.65%               | 70.65% (0.00%)       | 70.65% (0.00%)       |
| DecentralandBuyer.sol               | 54.68%               | 54.68% (0.00%)       | 51.80% (-5.26%)      |
| MarketPrice.sol                     | 48.00%               | 45.60% (-5.00%)      | 50.40% (+5.00%)      |
| WaterCrowdsale.sol                  | 61.34%               | 61.34% (0.00%)       | 61.34% (0.00%)       |
| SafeConditionalHFTransfer.sol       | 27.78%               | 27.78% (0.00%)       | 27.78% (0.00%)       |
| KeberuntunganAcak.sol               | 40.00%               | 40.00% (0.00%)       | 40.00% (0.00%)       |
| SaintArnouldToken.sol               | 55.12%               | 55.12% (0.00%)       | 55.12% (0.00%)       |
| viewMessagePayable.sol              | 50.00%               | 50.00% (0.00%)       | 50.00% (0.00%)       |
| IungoPresale.sol                    | 35.61%               | 35.61% (0.00%)       | 35.61% (0.00%)       |
| Honey.sol                           | 77.78%               | 61.11% (-21.43%)     | 72.22% (-7.14%)      |
| DaoCasinoToken.sol                  | 32.35%               | 32.35% (0.00%)       | 32.35% (0.00%)       |
| JoysoCrowdsale.sol                  | 50.76%               | 50.76% (0.00%)       | 50.76% (0.00%)       |
| Caller.sol                          | 100.00%              | 100.00% (0.00%)      | 100.00% (0.00%)      |
| Remittance.sol                      | 21.88%               | 21.88% (0.00%)       | 21.88% (0.00%)       |
| ChristmasClub.sol                   | 77.78%               | 77.78% (0.00%)       | 77.78% (0.00%)       |
| HFConditionalTransfer.sol           | 83.33%               | 66.67% (-20.00%)     | 66.67% (-20.00%)     |
| Fermat.sol                          | 47.25%               | 47.25% (0.00%)       | 47.25% (0.00%)       |
| Payee.sol                           | 72.00%               | 82.67% (+14.81%)     | 80.00% (+11.11%)     |
| CandySale.sol                       | 56.20%               | 56.20% (0.00%)       | 57.02% (+1.47%)      |
| REALotteryWheel.sol                 | 48.72%               | 48.72% (0.00%)       | 48.72% (0.00%)       |
