NUMBER-DEPENDENCY RESULTS


MAX COVERAGE RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
------------------------------------------------------------------------------------------------------------
| AMBROSUSFund.sol                    | 64.84%               | 67.03% (+3.39%)      | 67.03% (+3.39%)      |
| APPToken.sol                        | 49.41%               | 49.41% (0.00%)       | 49.41% (0.00%)       |
| AddressLotteryV2.sol                | 65.52%               | 65.52% (0.00%)       | 65.52% (0.00%)       |
| Arena.sol                           | 42.99%               | 42.99% (0.00%)       | 42.99% (0.00%)       |
| AvPresale.sol                       | 39.90%               | 39.90% (0.00%)       | 39.90% (0.00%)       |
| BMPre_ICO.sol                       | 48.15%               | 48.15% (0.00%)       | 48.15% (0.00%)       |
| Bagholder.sol                       | 30.56%               | 30.56% (0.00%)       | 26.19% (-14.29%)     |
| Bank_With_Interest.sol              | 62.26%               | 62.26% (0.00%)       | 62.26% (0.00%)       |
| Best_Bank_with_Interest.sol         | 65.66%               | 65.66% (0.00%)       | 63.64% (-3.08%)      |
| BlockHashRNGFallback.sol            | 63.46%               | 75.00% (+18.18%)     | 75.00% (+18.18%)     |
| Bob.sol                             | 17.44%               | 17.44% (0.00%)       | 17.44% (0.00%)       |
| Bombs.sol                           | 28.83%               | 28.83% (0.00%)       | 28.83% (0.00%)       |
| BrandContest.sol                    | 17.00%               | 17.00% (0.00%)       | 17.00% (0.00%)       |
| CHEXToken.sol                       | 35.44%               | 35.44% (0.00%)       | 36.71% (+3.57%)      |
| CSSPresale.sol                      | 41.24%               | 41.24% (0.00%)       | 41.24% (0.00%)       |
| Coinflip.sol                        | 33.00%               | 33.50% (+1.52%)      | 30.00% (-9.09%)      |
| CompetitionStore.sol                | 8.59%                | 8.59% (0.00%)        | 8.59% (0.00%)        |
| CrowdsaleTokens.sol                 | 69.09%               | 69.09% (0.00%)       | 69.09% (0.00%)       |
| CryptoDuels.sol                     | 22.84%               | 22.84% (0.00%)       | 22.84% (0.00%)       |
| CryptoGoldStandardCoin.sol          | 34.20%               | 33.77% (-1.27%)      | 33.77% (-1.27%)      |
| CryptoPoosToken.sol                 | 16.67%               | 16.67% (0.00%)       | 16.98% (+1.89%)      |
| DIVXToken.sol                       | 23.69%               | 25.09% (+5.88%)      | 25.09% (+5.88%)      |
| DecentralandBuyer.sol               | 54.68%               | 54.68% (0.00%)       | 51.80% (-5.26%)      |
| DeveryFUND.sol                      | 37.87%               | 37.87% (0.00%)       | 37.87% (0.00%)       |
| Dil.sol                             | 35.44%               | 35.44% (0.00%)       | 35.44% (0.00%)       |
| EmojisanAuctionHouse.sol            | 25.25%               | 25.25% (0.00%)       | 25.25% (0.00%)       |
| EmojisanMarketplace.sol             | 24.76%               | 24.76% (0.00%)       | 24.76% (0.00%)       |
| EtchReward.sol                      | 41.18%               | 41.18% (0.00%)       | 41.18% (0.00%)       |
| EthMash.sol                         | 44.04%               | 44.04% (0.00%)       | 44.04% (0.00%)       |
| EthMashChain.sol                    | 51.39%               | 51.39% (0.00%)       | 51.39% (0.00%)       |
| EthMashMount.sol                    | 49.35%               | 49.35% (0.00%)       | 49.35% (0.00%)       |
| EthMashTower.sol                    | 39.29%               | 39.29% (0.00%)       | 39.29% (0.00%)       |
| EtherTool.sol                       | 40.29%               | 40.29% (0.00%)       | 40.29% (0.00%)       |
| FidgETHSpinner.sol                  | 60.50%               | 60.50% (0.00%)       | 60.50% (0.00%)       |
| FipsNotary.sol                      | 44.62%               | 43.85% (-1.72%)      | 44.62% (0.00%)       |
| GPSPresale.sol                      | 39.46%               | 39.46% (0.00%)       | 39.46% (0.00%)       |
| HashBet.sol                         | 52.17%               | 52.17% (0.00%)       | 52.17% (0.00%)       |
| HodlBox.sol                         | 64.41%               | 64.41% (0.00%)       | 64.41% (0.00%)       |
| KeberuntunganAcak.sol               | 40.00%               | 40.00% (0.00%)       | 40.00% (0.00%)       |
| KiddyToys.sol                       | 16.44%               | 16.44% (0.00%)       | 16.44% (0.00%)       |
| LINKFund.sol                        | 74.19%               | 74.19% (0.00%)       | 74.19% (0.00%)       |
| LeanFund.sol                        | 58.78%               | 58.78% (0.00%)       | 58.78% (0.00%)       |
| MUSCToken.sol                       | 30.98%               | 30.98% (0.00%)       | 30.98% (0.00%)       |
| MarketPrice.sol                     | 48.00%               | 45.60% (-5.00%)      | 50.40% (+5.00%)      |
| Matthew.sol                         | 71.43%               | 71.43% (0.00%)       | 71.43% (0.00%)       |
| MoacToken.sol                       | 27.64%               | 27.02% (-2.25%)      | 25.78% (-6.74%)      |
| NFTHouseGame.sol                    | 9.95%                | 9.95% (0.00%)        | 9.95% (0.00%)        |
| NatCoinCrowdsale.sol                | 37.71%               | 33.47% (-11.24%)     | 38.14% (+1.12%)      |
| OurRoulette.sol                     | 19.62%               | 19.62% (0.00%)       | 19.62% (0.00%)       |
| P2PFuturesTrading.sol               | 31.11%               | 31.11% (0.00%)       | 31.11% (0.00%)       |
| PIGGY_BANK.sol                      | 86.49%               | 64.86% (-25.00%)     | 83.78% (-3.13%)      |
| PreAdsMobileToken.sol               | 35.98%               | 35.15% (-2.33%)      | 33.89% (-5.81%)      |
| PreIcoCrowdsale.sol                 | 47.44%               | 47.44% (0.00%)       | 47.44% (0.00%)       |
| Profit1000.sol                      | 30.67%               | 32.91% (+7.29%)      | 29.71% (-3.13%)      |
| RandoCoin.sol                       | 25.12%               | 27.44% (+9.26%)      | 27.44% (+9.26%)      |
| Remittance.sol                      | 21.88%               | 21.88% (0.00%)       | 21.88% (0.00%)       |
| SCCsale.sol                         | 49.71%               | 49.71% (0.00%)       | 49.71% (0.00%)       |
| STRIMToken.sol                      | 26.33%               | 26.92% (+2.25%)      | 27.51% (+4.49%)      |
| Sacrific3d.sol                      | 43.90%               | 43.90% (0.00%)       | 43.90% (0.00%)       |
| SaintArnouldToken.sol               | 55.12%               | 55.12% (0.00%)       | 55.12% (0.00%)       |
